"CustomerID","ProductID_1_sum","ProductID_2_sum","ProductID_3_sum","ProductID_4_sum","ProductID_5_sum","ProductID_6_sum","ProductID_7_sum","ProductID_8_sum","Pattern_0000010_sum","Pattern_0000100_sum","Pattern_0001000_sum","Pattern_0010000_sum","Pattern_0100010_sum","Pattern_1000010_sum","Pattern_1001010_sum","Pattern_1111110_sum","PaymentType_BT_sum","PaymentType_DD_sum","PaymentStatus_Paid_sum","PaymentStatus_Not.Paid_sum","StartDate_rec","RenewalDate_rec","PaymentDate_rec","NbrNewspapers_mean","NbrStart_mean","GrossFormulaPrice_mean","NetFormulaPrice_mean","NetNewspaperPrice_mean","ProductDiscount_mean","FormulaDiscount_mean","TotalDiscount_mean","TotalPrice_mean","TotalCredit_mean","Gender","District","ZIP","StreeID","Age","churn"
"105447",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,334,364,349,304,16.6666666666667,237.666666666667,237.666666666667,0.781782333333333,0,0,0,237.666666666667,0,"M","5","3900","46035",61,"0"
"105570",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,10,0,62,91,74,76,16,72.2,72.2,0.9500942,0,0,0,72.2,0,"M","5","3900","46125",54,"0"
"105970",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,173,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,"M","5","3900","46125",89,"1"
"106456",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,147,304,15,247.666666666667,247.666666666667,0.813596333333333,0,0,0,247.333333333333,-0.333333333333333,NA,"5","3910","46293",61,"0"
"106579",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,149,180,153,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,NA,"5","3910","46455",61,"0"
"106785",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,175,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,"M","5","3910","46362",74,"0"
"106861",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,161,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,"M","5","3910","46269",61,"0"
"106951",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,172,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,NA,"5","3910","46337",61,"0"
"107108",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,171,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,NA,"5","3920","46702",61,"0"
"107253",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,5,0,152,192,175,152,16,134.8,134.8,0.8868566,0,0,0,134.8,0,"M","5","3920","46752",78,"0"
