"Monetary_score","Total_quantity","recency_score","days_customer","churn"
29187.4,518,14,11199,"0"
1845,20,41,9660,"0"
2722,98,8,9660,"0"
42454.4,1451,1,8849,"0"
12412,705,21,9660,"0"
30803.8,925,31,9660,"0"
1468,82,38,9660,"0"
1050,60,2,9660,"0"
2387,86,38,9660,"0"
7692,435,16,9660,"0"
2310,137,21,9660,"0"
2637,114,56,8470,"0"
5680.6,261,9,9473,"0"
8922,101,7,9660,"0"
10098.4,333,14,9660,"0"
3405.4,194,50,9660,"0"
8576,486,2,11066,"0"
21325.8,783,7,9660,"0"
9152.8,256,50,7903,"0"
42779.4,2389,9,7924,"0"
3147,186,0,9660,"0"
43475,680,2,9239,"0"
2131,32,51,9660,"0"
6086.4,334,58,9660,"0"
6272,296,35,9660,"0"
2948,168,1,9660,"0"
1358,74,45,9660,"0"
10169.6,570,13,9660,"0"
5709,289,31,9660,"0"
2082,73,45,9660,"0"
4950,50,0,9660,"0"
2975,170,34,9660,"0"
1044,61,38,9660,"0"
3727,165,35,9660,"0"
5583,91,42,8023,"0"
3170,55,23,9660,"0"
9687.2,427,15,9660,"0"
35828.9,1398,6,9660,"0"
1285,74,28,9660,"0"
3825.8,186,43,9660,"0"
4966,283,1,9660,"0"
18337,890,70,9660,"0"
11725,646,24,9660,"0"
2376,118,6,8463,"0"
6452,158,23,7860,"0"
9236,489,3,8541,"0"
1170,58,20,8289,"0"
13086.4,595,24,7800,"0"
1637,79,23,7757,"0"
724,41,9,7707,"1"
5655,63,14,9037,"0"
2267,43,35,8890,"0"
4223,260,21,9660,"0"
5342,97,28,9660,"0"
3217,184,30,9660,"0"
8284.4,403,1,9660,"0"
6684,98,7,8197,"0"
7315,117,15,10034,"0"
27672,1080,0,9960,"0"
544,34,49,8616,"0"
2581,133,10,8472,"0"
886,50,21,9660,"0"
14026.8,635,43,8715,"0"
2684,149,42,9660,"0"
1857,97,15,10093,"0"
2516,149,37,9555,"0"
5920,244,8,9555,"0"
4716,52,48,9660,"0"
3410,177,30,8402,"0"
2349.6,130,23,9660,"0"
5163,182,14,9660,"0"
2277,120,2,8898,"0"
2340,41,48,9528,"0"
3834,196,14,9660,"0"
2520,144,24,9171,"0"
4556,267,51,9199,"0"
25857.65,1224,2,8512,"0"
52400,2957,3,9423,"0"
